name	slug	count	level	parent_name	parent_slug	path	name_raw												
Leicester City	leicester-city-replica-football-shirt	26	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/leicester-city-replica-football-shirt	— Leicester City												
Ligue 1	ligue-1-replica-football-shirt	35	0			ligue-1-replica-football-shirt	Ligue 1												
Lille	lille	1	1	Ligue 1	ligue-1-replica-football-shirt	ligue-1-replica-football-shirt/lille	— Lille												
Limited Offers	limited-offer-replica-football-kits-23-24	17	0			limited-offer-replica-football-kits-23-24	Limited Offers												
Lionel Messi (30)	lionel-messi-30-replica-football-shirt	12	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/lionel-messi-30-replica-football-shirt	— Lionel Messi (30)												
Lisandro Martínez	martinez-6	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/martinez-6	— Lisandro Martínez												
Los Angeles	los-angeles	6	1	Other Clubs	other-clubs	other-clubs/los-angeles	— Los Angeles												
Luis Fernando Díaz Marulanda (7)	luis-diaz-7	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/luis-diaz-7	— Luis Fernando Díaz Marulanda (7)												
Luka Modri?	modric-10	13	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/modric-10	— Luka Modri?												
Luton	luton	4	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/luton	— Luton												
Mainoo	mainoo	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/mainoo	— Mainoo												
Malaga	malaga	6	1	Other Clubs	other-clubs	other-clubs/malaga	— Malaga												
Manchester City	man-city-replica-football-shirt	144	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/man-city-replica-football-shirt	— Manchester City												
Manchester United	man-utd-replica-football-shirt	101	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/man-utd-replica-football-shirt	— Manchester United												
Manuel Peter Neuer	neuer-1	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/neuer-1	— Manuel Peter Neuer												
Marc-André ter Stegen	ter-stegen-1	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ter-stegen-1	— Marc-André ter Stegen												
Marcus Rashford’s	rashford-10-replica-football-shirt	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/rashford-10-replica-football-shirt	— Marcus Rashford’s												
Martin Ødegaard	odegaard-8-famous-replica-football-players-printed	11	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/odegaard-8-famous-replica-football-players-printed	— Martin Ødegaard												
Mason Tony Mount	mount-19-replica-football-shirt	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/mount-19-replica-football-shirt	— Mason Tony Mount												
Matheus Santos Carneiro da Cunha	cunha-10	9	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/cunha-10	— Matheus Santos Carneiro da Cunha												
Memphis Grizzlies	memphis-10	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/memphis-10	— Memphis Grizzlies												
Mexico	mexico-north-america	21	2	NORTH AMERICA	north-america	international-teams/north-america/mexico-north-america	— — Mexico												
Micky van de Ven	van-de-ven-37	10	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/van-de-ven-37	— Micky van de Ven												
Middlesbrough	middlesbrough	8	1	Other Clubs	other-clubs	other-clubs/middlesbrough	— Middlesbrough												
Minnesota	minnesota	1	1	Other Clubs	other-clubs	other-clubs/minnesota	— Minnesota												
Mohamed Abdelsalam Marmoush	marmoush-7	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/marmoush-7	— Mohamed Abdelsalam Marmoush												
Mohamed Salah	salah-11-replica-football-shirt	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/salah-11-replica-football-shirt	— Mohamed Salah												
Mohammed Kudus	kudus-14	13	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/kudus-14	— Mohammed Kudus												
Morocco	morocco	3	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/morocco	— — Morocco												
Netherlands	netherlands-europe	16	2	EUROPE	europe	international-teams/europe/netherlands-europe	— — Netherlands												
New Arrivals	new-arrivals-replica-football-shirt	184	0			new-arrivals-replica-football-shirt	New Arrivals												
New Arrivals 25/26	new-arrivals-25-26	542	0			new-arrivals-25-26	New Arrivals 25/26												
New England Revolution	new-england-revolution	1	1	Other Clubs	other-clubs	other-clubs/new-england-revolution	— New England Revolution												
New York City	new-york-city	1	1	Other Clubs	other-clubs	other-clubs/new-york-city	— New York City												
Newcastle	newcastle	0	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/newcastle	— Newcastle												
Neymar da Silva Santos Júnior (10)	neymar-10-replica-football-shirt	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/neymar-10-replica-football-shirt	— Neymar da Silva Santos Júnior (10)												
Neymar Júnior	neymar-jr-11	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/neymar-jr-11	— Neymar Júnior												
Nigeria	nigeria-africa-middle-east	9	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/nigeria-africa-middle-east	— — Nigeria												
NORTH AMERICA	north-america	34	1	International Teams	international-teams	international-teams/north-america	— NORTH AMERICA												
Northern Ireland	northern-ireland-europe	7	2	EUROPE	europe	international-teams/europe/northern-ireland-europe	— — Northern Ireland												
Norway	norway-europe	8	2	EUROPE	europe	international-teams/europe/norway-europe	— — Norway												
Nottingham Forest	nottingham-forest-replica-football-shirt	27	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/nottingham-forest-replica-football-shirt	— Nottingham Forest												
Oliver George Arthur Watkins	watkins-11	8	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/watkins-11	— Oliver George Arthur Watkins												
Olympique Lyonnais	olympique-lyonnais-football-shirt	10	1	Ligue 1	ligue-1-replica-football-shirt	ligue-1-replica-football-shirt/olympique-lyonnais-football-shirt	— Olympique Lyonnais												
Olympique Marseille	olympique-marseille-replica-football-shirt	26	1	Ligue 1	ligue-1-replica-football-shirt	ligue-1-replica-football-shirt/olympique-marseille-replica-football-shirt	— Olympique Marseille												
Orlando City	orlando-city	1	1	Other Clubs	other-clubs	other-clubs/orlando-city	— Orlando City												
Other Clubs	other-clubs	282	0			other-clubs	Other Clubs												
Ousmane Dembélé	ousmane-dembele	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ousmane-dembele	— Ousmane Dembélé												
Pablo Martín Páez Gavira	pablo-martin-paez-gavira	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/pablo-martin-paez-gavira	— Pablo Martín Páez Gavira												
